address,num_room,district,age,sa,sap,gfa,gfap,price,monthly,convenience,efficiency,region
Beneville・BLOCK 5,2,Siu Hong,20,428,11775,578,8719,5.04,17098,1,74,HK Island
80 ROBINSON ROAD・BLOCK 1,4,Mid-Levels West,23,2059,67022,2998,46030,138.0,334408,10,68,HK Island
RESIDENCE BEL-AIR・Phase 2  South Tower・TOWER 3,3,Residence Bel-air,19,1365,23296,1681,18917,31.8,77059,2,81,HK Island
DISCOVERY PARK・PHASE 2・BLOCK 5,2,Discovery Park,26,470,13829,593,10961,6.5,22052,9,79,NT West
Park Central・Phase 2・Tower 11,2,Tseung Kwan O,21,541,15341,725,11448,8.3,28158,4,74,NT East
Ocean Shores・Phase 1・Tower 1,2,Tiu Keng Leng,23,505,15049,692,10982,7.6,25783,10,72,NT East
Park Central・PHASE 1・Tower 8,2,Tseung Kwan O,22,384,19270,527,14041,7.4,25105,5,72,NT East
H CUBE,1,Tsuen Wan West,18,308,15259,448,10491,4.7,15945,8,68,NT West
VISION CITY・BLOCK 6,2,Tsuen Wan West,17,508,17677,672,13363,8.98,30465,10,75,NT West
Luk Yeung Sun Chuen・Block J,2,Luk Yeung,41,451,11086,518,9652,5.0,16963,4,87,NT West
Vision City・BLOCK 2,2,Tsuen Wan West,17,522,21800,690,16492,11.38,38607,10,75,NT West
Chelsea Court・TOWER NORTH (B2),2,Tsuen Wan West,19,494,14777,628,11624,7.3,24766,10,78,NT West
The Trend Plaza・Block E,1,Tuen Mun Town Centre,36,272,12500,364,9340,3.4,11535,8,74,NT West
METRO HARBOUR VIEW・PHASE II・TOWER 5,2,Tai Kok Tsui,21,347,14985,499,10420,5.2,17641,10,69,NT West
SEYMOUR PLACE,3,Mid-Levels West,30,921,21172,1226,15905,19.5,56704,10,75,HK Island
80 Robinson Road・Block 2,3,Mid-Levels West,23,855,36116,1154,26759,30.88,74830,10,74,HK Island
NEW KWAI FONG GARDENS・BLOCK E,2,Ha Kwai Chung,41,418,11913,510,9764,4.98,16895,2,81,NT East
City One Shatin・Site 5・Block 49,2,City One Shatin,38,284,15774,395,11341,4.48,15199,7,71,NT East
MARINELLA・TOWER 6,4,Deep Bay,12,1807,44161,2323,34352,79.8,193375,5,77,NT East
CITY ONE SHATIN・Site 6・BLOCK 24,3,City One Shatin,38,447,14765,562,11743,6.6,22391,10,79,NT East
OCEAN SHORES・PHASE 2・TOWER 8,2,Tiu Keng Leng,22,497,13983,678,10250,6.95,23578,8,73,NT East
SKYLINE PLAZA,3,Tsuen Wan West,29,643,14121,850,10682,9.08,30804,9,75,NT West
Harbour Green・TOWER 3,1,Olympic Station,17,482,19253,625,14848,9.28,31483,7,77,HK Island
DISCOVERY PARK・Phase 1・BLOCK 3,2,Discovery Park,27,495,12525,610,10163,6.2,21034,1,81,NT West
NO. 1 PO SHAN ROAD・BLOCK 2,3,Mid-Levels West,22,1943,32424,2471,25495,63.0,152665,6,78,HK Island
Riviera Gardens・Hoi Chu Mansion (Block 2),2,Tsuen Wan Hoi Bun,36,577,12131,696,10057,7.0,23748,10,82,NT West
SOUTH HORIZONS・PHASE 3・Mei Chun Court (Block 21),2,South Horizons,30,581,14285,745,11140,8.3,28158,5,77,HK Island
THE TREND PLAZA・BLOCK B,2,Tuen Mun Town Centre,36,409,9290,516,7364,3.8,12892,8,79,NT West
Park Central・Phase 2・Tower 12,2,Tseung Kwan O,21,467,14561,620,10967,6.8,23069,4,75,NT East
The Palazzo・Block 2,3,Fo Tan,15,696,16235,892,12668,11.3,38336,3,78,NT East
CARIBBEAN COAST・PHASE 3 CARMEL COVE・TOWER 11,2,Tung Chung Town Centre,19,563,11190,749,8411,6.3,21373,4,75,NT West
HARBOUR GREEN・TOWER 5,2,Olympic Station,17,482,16182,625,12480,7.8,26462,7,77,HK Island
Island Harbourview・Tower 7,3,Olympic Station,24,710,20845,947,15628,14.8,50210,6,74,HK Island
